rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
10	C27H42O4	[M - H]-	C27H42O4	0.9999999999999999	66.73871717330701	60.19590834513858	6.542808828168431	16	0.5675470787837904	0.0069114225421254595	0.9398980318078171	0.05249531385999346		429.30106	357.27	322_2211_322
11	C29H38N4O6	[M - H]-	C29H38N4O6	0.9999999999999999	65.41105428093485	58.93267700431663	6.47837727661822	26	0.9663360031367029	-4.775891255315521	4.775891255315521	-0.3555062592456652		537.27167	233.477	156_2211_156
12	C20H28O6	[M - H]-	C20H28O6	0.9999999999999999	65.11517347368056	61.37899104878691	3.7361824248936517	10	0.7394002279560695	-0.19860882005896485	0.4835977252030333	-0.5240848879439534		363.18112	210.702	138_2211_138
13	C19H18O6	[M + CH2O2 - H]-	C20H20O8	0.9999999999999999	64.10763345953144	60.238909949889305	3.868723509642139	10	0.8547129435199187	-2.3011456881604175	2.563987329517721	-0.2898227549711935		387.10843	115.853	74_2211_74
13	C20H20O8	[M - H]-	C20H20O8	0.9999999999999999	64.10763345953144	60.238909949889305	3.868723509642139	10	0.8547129435199187	-2.3011456881604175	2.563987329517721	-0.2898227549711935		387.10843	115.853	74_2211_74
13	C20H22O9	[M - H2O - H]-	C20H20O8	0.9999999999999999	64.10763345953144	60.238909949889305	3.868723509642139	11	0.8547129435199187	-2.3011456881604175	2.563987329517721	-46526.18111532097		387.10843	115.853	74_2211_74
13	C20H24O10	[M - H4O2 - H]-	C20H20O8	0.9999999999999999	64.10763345953144	60.238909949889305	3.868723509642139	11	0.8547129435199187	-2.3011456881604175	2.563987329517721	-93052.07240788698		387.10843	115.853	74_2211_74
14	C29H46O4	[M - H]-	C29H46O4	0.9999999999999999	63.67061591375075	59.77730325116023	3.8933126625905268	12	0.7619911889550128	-0.4450010456946021	1.5158887797642384	-0.1270614115373306		457.33228	381.2	369_2211_369
15	C11H16N4O6	[M - H]-	C11H16N4O6	0.9999999999999999	63.13339986382194	60.22918014106877	2.904219722753173	13	0.3912158429423034	-0.7422371584553017	0.8112807142207138	-4.410281313336408		299.09839	17.249	9_2211_9
16	C28H46O6	[M - H2O - H]-	C28H44O5	0.9999999999999999	59.5854528085029	55.7783871456186	3.8070656628843005	14	0.47274870198979974	-2.180923104342175	2.180923104342175	-39212.04507327343		459.31161	373.819	348_2211_348
16	C28H48O7	[M - H4O2 - H]-	C28H44O5	0.9999999999999999	59.5854528085029	55.7783871456186	3.8070656628843005	14	0.47274870198979974	-2.180923104342175	2.180923104342175	-78424.12701547057		459.31161	373.819	348_2211_348
17	C24H44N4O7	[M - H4O2 - H]-	C24H40N4O5	0.9999999999999999	59.46970742959558	54.114967056477006	5.354740373118574	28	0.9139092918002611	-1.117932566330435	1.279047651296779	-77753.95260431115		463.29102	314.092	242_2211_242
17	C24H42N4O6	[M - H2O - H]-	C24H40N4O5	0.9999999999999999	59.46970742959558	54.114967056477006	5.354740373118574	28	0.9139092918002611	-1.117932566330435	1.279047651296779	-38878.679662307455		463.29102	314.092	242_2211_242
18	C32H54N6O7	[M - H]-	C32H54N6O7	0.9999999999999999	59.132376619468296	55.81169406124265	3.3206825582256485	11	0.8987695624828187	-0.02920413949751738	0.7154620057500626	3.871348813106751		633.40057	360.839	328_2211_328
18	C31H52N6O5	[M + CH2O2 - H]-	C32H54N6O7	0.9999999999999999	59.132376619468296	55.81169406124265	3.3206825582256485	10	0.7526733136495195	-0.12067366999522704	0.5246855177654738	3.871348813106751		633.40057	360.839	328_2211_328
19	C28H46O6	[M - H4O2 - H]-	C28H42O4	0.9999999999999999	58.04190720010731	54.25397242421976	3.787934775887549	11	0.6819902147468985	-1.887062746501765	1.887062746501765	-81625.8390272557		441.30063	364.079	332_2211_332
19	C28H44O5	[M - H2O - H]-	C28H42O4	0.9999999999999999	58.04190720010731	54.25397242421976	3.787934775887549	11	0.6819902147468985	-1.887062746501765	1.887062746501765	-40813.37805568936		441.30063	364.079	332_2211_332
20	C21H32N2O7	[M + Cl]-	C21H32N2O7	0.9999999999999999	56.72000748097165	56.72000748097165	0.0	11	0.8787419074284786	2.365514644997444	2.6855244063970094	1.4970134281796879		459.19104	165.125	102_2211_102
21	C12H16NO4PS2	[M - H]-	C12H16NO4PS2	0.9999999999999999	56.21728451251056	56.21728451251056	0.0	17	0.6077009097372034	4.251847444784807	4.251847444784807	3.3843414588773197		332.01968	104.796	69_2211_69
22	C8H16N4O4	[M + Cl]-	C8H16N4O4	0.9999999999999999	55.454326085269074	55.454326085269074	0.0	11	0.8859615882367355	-1.6390544796887057	1.7491222043162473	2.139502724816787		267.08713	83.04	50_2211_50
23	C29H48O5	[M - H2O - H]-	C29H46O4	0.9999999999999999	55.252908080057686	51.52575045225464	3.727157627803047	14	0.25035252144222847	0.1463712649426632	0.9945464580520964	-39382.82101499235		457.33188	367.365	335_2211_335
23	C29H50O6	[M - H4O2 - H]-	C29H46O4	0.9999999999999999	55.252908080057686	51.52575045225464	3.727157627803047	14	0.25035252144222847	0.1463712649426632	0.9945464580520964	-78764.64748352676		457.33188	367.365	335_2211_335
24	C28H44O4	[M - H]-	C28H44O4	0.9999999999999999	54.59061443483808	50.93165025281426	3.65896418202382	9	0.8015899668592485	-0.27111672362742256	0.9743709661965685	0.1319766306700483		443.31674	348.652	300_2211_300
25	C20H22O8	[M - H]-	C20H22O8	0.9999999999999999	54.03628704642273	45.61823346294558	8.418053583477146	11	0.24641974160506044	-1.1260689622507176	1.3631456189209574	-0.6664384339930661		389.12393	64.354	31_2211_31
26	C17H24N6O4	[M - H]-	C17H24N6O4	0.9999999999999999	53.46191172535929	50.09740244047585	3.3645092848834453	10	0.633395044697237	0.6153914859690248	0.88841439668383	1.0376842922388279		375.17902	225.527	147_2211_147
27	C18H18O6	[M + CH2O2 - H]-	C19H20O8	0.9999999999999999	53.361572474100434	49.57174269978363	3.7898297743168072	13	0.6109774865020124	-2.691377997228243	2.691377997228243	-0.9499484969345343		375.10818	52.72	28_2211_28
28	C17H32N6O6	[M - H2O - H]-	C17H30N6O5	0.9999999999999999	52.76673538326787	49.26691615434207	3.499819228925798	14	0.6350832180460475	-0.3894409035675957	1.1846949989002997	-45341.886364049686		397.22034	165.737	105_2211_105
28	C17H30N6O5	[M - H]-	C17H30N6O5	0.9999999999999999	52.76673538326787	49.26691615434207	3.499819228925798	13	0.6350832180460475	-0.3894409035675957	1.1846949989002997	-0.3894409035675957		397.22034	165.737	105_2211_105
28	C17H34N6O7	[M - H4O2 - H]-	C17H30N6O5	0.9999999999999999	52.76673538326787	49.26691615434207	3.499819228925798	14	0.6350832180460475	-0.3894409035675957	1.1846949989002997	-90683.38328719567		397.22034	165.737	105_2211_105
29	C28H44O5	[M - H]-	C28H44O5	0.9999999999999999	52.45283150732136	48.514174431749105	3.9386570755722556	11	0.6921089946906229	-0.49382267672290714	0.6316031094240363	-0.09601507064974248		459.31155	324.65	255_2211_255
30	C30H52O7	[M - H]-	C30H52O7	0.9999999999999999	52.405760525733776	48.631528122014906	3.7742324037188713	7	0.7140220752651144	1.7278998453380963	1.7278998453380963	-0.7262464135104589		523.36365	383.606	378_2211_378
31	C18H32O6	[M - H2O - H]-	C18H30O5	0.9999999999999999	52.05218368461291	48.17902055465561	3.873163129957307	9	0.6363407050937558	-0.9736691673575115	0.9736691673575115	-55382.9585300608		325.20197	199.562	125_2211_125
31	C18H30O5	[M - H]-	C18H30O5	0.9999999999999999	52.05218368461291	48.17902055465561	3.873163129957307	8	0.6363407050937558	-0.9736691673575115	0.9736691673575115	-0.25299932643733275		325.20197	199.562	125_2211_125
31	C18H34O7	[M - H4O2 - H]-	C18H30O5	0.9999999999999999	52.05218368461291	48.17902055465561	3.873163129957307	9	0.6363407050937558	-0.9736691673575115	0.9736691673575115	-110765.66406079536		325.20197	199.562	125_2211_125
32	C29H46O5	[M - H]-	C29H46O5	0.9999999999999999	51.57561966816484	48.43872769379967	3.1368919743651693	10	0.6012404057559229	-0.8284425427048545	1.0701421420827502	-1.1777195165323957		473.32669	367.365	336_2211_336
32	C29H48O6	[M - H2O - H]-	C29H46O5	0.9999999999999999	51.57561966816484	48.43872769379967	3.1368919743651693	11	0.6012404057559229	-0.8284425427048545	1.0701421420827502	-38052.20048850538		473.32669	367.365	336_2211_336
32	C29H50O7	[M - H4O2 - H]-	C29H46O5	0.9999999999999999	51.57561966816484	48.43872769379967	3.1368919743651693	11	0.6012404057559229	-0.8284425427048545	1.0701421420827502	-76103.22325749433		473.32669	367.365	336_2211_336
33	C27H46O6	[M - H]-	C27H46O6	0.9999999999999999	51.47387872261764	47.58404727467389	3.889831447943751	10	0.8180373039530542	-0.4395629650766403	0.7397583123280971	-0.30356511821221427		465.32202	322.831	251_2211_251
33	C27H50O8	[M - H4O2 - H]-	C27H46O6	0.9999999999999999	51.47387872261764	47.58404727467389	3.889831447943751	11	0.8180373039530542	-0.4395629650766403	0.7397583123280971	-77411.48916319654		465.32202	322.831	251_2211_251
33	C27H48O7	[M - H2O - H]-	C27H46O6	0.9999999999999999	51.47387872261764	47.58404727467389	3.889831447943751	11	0.8180373039530542	-0.4395629650766403	0.7397583123280971	-38705.89636415738		465.32202	322.831	251_2211_251
34	C5H10N3O3	[M - H]-	C5H10N3O3	0.9999999999999999	51.248156449204785	49.24146323100344	2.006693218201339	8	0.8967492798319078	-0.010130782079924218	1.5488414459934985	0.9698308239092944		159.06509	60.483	29_2211_29
35	C8H14N4O4	[M + Cl]-	C8H14N4O4	0.9999999999999999	50.87773833329836	50.87773833329836	0.0	10	0.9264368070726063	1.5353388720020096	2.115235464443571	2.250327294128315		265.07150	92.209	53_2211_53
36	C6H12N3O3	[M - H]-	C6H12N3O3	0.9999999999999999	49.07504075379044	44.70131724020766	4.373723513582779	7	0.8468910602815716	-0.41164469110231994	0.7165633190499138	1.5399238158913344		173.08086	82.475	45_2211_45
