rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
23	C28H36N4O4	[M + CH2O2 - H]-	C29H38N4O6	0.9999999999999999	57.449728164768054	57.449728164768054	0.0	17	0.28533273041610385	-5.285597168147877	5.285597168147877	-0.5827104671356828		537.27155	233.287	201_2211_201
24	C32H48O8	[M - H]-	C32H48O8	0.9999999999999999	57.41044781297043	53.719011961371244	3.69143585159919	10	0.879586388365883	-0.6551079665085379	1.2978391454653173	-0.991622930849827		559.32709	183.655	136_2211_136
25	C27H46O6	[M - H]-	C27H46O6	0.9999999999999999	57.240262736522126	53.724107942014285	3.5161547945078446	12	0.8455741735007622	-0.7821006943206004	1.1329583684888354	-1.2873231181119216		465.32156	321.947	365_2211_365
26	C28H44O5	[M - H]-	C28H44O5	0.9999999999999999	57.13182828898087	53.50490324216814	3.626925046812728	15	0.26554856203264215	-0.6719070942655967	1.1777925819445012	-39211.76888407803		459.31174	374.371	462_2211_462
27	C17H12O8	[M - H]-	C17H12O8	0.9999999999999999	55.97166467557767	49.697198228191034	6.274466447386635	7	0.9653686285327394	-0.47959990565559013	0.7881264180938432	-0.47959990565559013		343.04578	163.215	111_2211_111
28	C12H20O6	[M - H]-	C12H20O6	0.9999999999999999	55.84091896899088	52.297903546694144	3.543015422296733	9	0.6419879818774232	-4.029520493489204	4.215591401413921	-69508.00306351665		259.11847	95.887	41_2211_41
29	C28H42O4	[M - H]-	C28H42O4	0.9999999999999999	54.99683568644558	48.862810303734456	6.134025382711122	13	0.896610683454622	-4.205970449755339	4.205970449755339	-1.1936993153441904		441.30051	364.186	438_2211_438
30	C29H46O4	[M - H]-	C29H46O4	0.9999999999999999	54.49401120423197	50.65047456376398	3.843536640467985	11	0.7662214917384895	-1.5863535266285205	2.116546697508433	-39382.19679687012		457.33215	380.935	480_2211_480
31	C28H46O3	[M - H]-	C28H46O3	0.9999999999999999	53.45955682964505	47.13435713030512	6.32519969933993	10	0.5411690616645988	-0.4015093708544855	1.4601304468048668	-41951.19521005247		429.33679	393.525	502_2211_502
32	C31H50O9	[M - H]-	C31H50O9	0.9999999999999999	53.06095276214794	49.479795018768925	3.581157743379014	11	0.9218200691616483	-0.34321519618343865	2.2184727299029317	-0.34321519618343865		565.33801	182.428	132_2211_132
33	C12H16NO4PS2	[M - H]-	C12H16NO4PS2	0.9999999999999999	52.06737894857482	52.06737894857482	0.0	16	0.6193373291002352	3.495087273003712	3.495087273003712	3.568170735987113		332.01974	104.398	51_2211_51
34	C37H56N4O5	[M - H]-	C37H56N4O5	0.9999999999999999	52.06583988381313	46.11572490957322	5.950114974239917	10	0.7951122620967636	0.24030537463830598	1.0961113037008208	-2.319171037917542		635.41632	385.151	490_2211_490
35	C27H42O4	[M - H]-	C27H42O4	0.9999999999999999	51.92499767213704	48.06424726625026	3.8607504058867748	13	0.6307007987595565	-1.6757365381448828	1.6757365381448828	-83906.63281765778		429.30096	357.488	430_2211_430
36	C27H44O3	[M - H]-	C27H44O3	0.9999999999999999	50.20140319049787	47.098865105569715	3.1025380849281587	9	0.6996683382273321	0.008452197423011055	0.8612199788753975	-0.8612199788753975		415.32141	379.701	478_2211_478
37	C42H56N4O7	[M - H]-	C42H56N4O7	0.9999999999999999	49.45730342857933	41.303212070266746	8.154091358312586	13	0.8327387869285968	-0.13822180655910715	1.5996141533812493	-2.1401875087688977		727.40607	182.428	133_2211_133
38	C37H56N4O6	[M - H]-	C37H56N4O6	0.9999999999999999	49.303847574650206	49.303847574650206	0.0	16	0.8790806611325953	-1.6911864320890775	1.7927563400071609	-55299.29560639436		651.41125	356.303	428_2211_428
39	C6H12N3O3	[M - H]-	C6H12N3O3	0.9999999999999999	49.13207393942136	44.77543465203628	4.356639287385079	7	0.9460993797510135	-0.15023183273533663	1.1816244233105604	1.7162432910643564		173.08089	82.094	32_2211_32
40	C28H44O5	[M - H]-	C28H44O5	0.9999999999999999	49.05514889035038	42.65946164492745	6.395687245422935	9	0.6734874098312335	-1.0680675178993329	1.092646154947453	-1.092646154947453		459.31110	324.751	371_2211_371
41	C17H24N6O4	[M - H]-	C17H24N6O4	0.9999999999999999	47.80294275705542	45.48723152278504	2.3157112342703776	9	0.4744345636440076	1.0348817182543864	1.396346090946301	0.14292926336685996		375.17868	226.036	189_2211_189
42	C5H10N3O3	[M - H]-	C5H10N3O3	0.9999999999999999	47.515887376295076	43.7018647990441	3.814022577250975	7	0.946905883876564	-0.9479368156696311	1.0324432296852397	1.6413254016509575		159.06520	60.592	26_2211_26
43	C37H56N4O5	[M - H]-	C37H56N4O5	0.9999999999999999	46.808060614002386	46.808060614002386	0.0	11	0.8313894000632646	-0.9550260712175678	1.486013510690475	-28346.928617986978		635.41626	369.63	450_2211_450
44	C32H48O7	[M - H]-	C32H48O7	0.9999999999999999	45.9170753458713	42.493784017448355	3.423291328422942	7	0.5575152105030287	-0.7447064672469536	1.3936398135799068	-1.3936398135799068		543.33197	229.067	193_2211_193
45	C19H28N4O3	[M - H]-	C19H28N4O3	0.9999999999999999	45.668759491943405	40.576159707542445	5.092599784400964	9	0.8830538113028831	-0.5243955573843899	0.7894645530154831	-3.9136375997257327		359.20746	236.279	208_2211_208
46	C30H48O6	[M - H]-	C30H48O6	0.9999999999999999	45.65461456167543	39.0631129033187	6.591501658356731	15	0.8478314329866872	-0.07454104064120884	1.6525858173561483	-0.5729551899325273		503.33752	171.069	118_2211_118
47	C26H44O6	[M - H]-	C26H44O6	0.9999999999999999	45.17702347492463	41.43427005669181	3.7427534182328253	9	0.9147805215936817	-0.670498075946643	0.7492338120060364	-39908.30049991286		451.30621	308.719	342_2211_342
48	C16H26O4	[M - H]-	C16H26O4	0.9999999999999999	45.16796063970478	41.961029337200834	3.2069313025039454	6	0.5973921475482368	-3.4439103042898545	3.4439103042898545	-0.6176929484906857		281.17566	229.067	194_2211_194
49	C28H42N6O5	[M - H]-	C28H42N6O5	0.9999999999999999	44.9008074269534	41.236927012052114	3.6638804149012834	15	0.8097029272227532	-0.6213631662694852	1.2832452110663035	-0.7890950302704569		541.31396	338.105	396_2211_396
50	C31H50O9	[M - H]-	C31H50O9	0.9999999999999999	44.89669988208344	35.978716686655744	8.917983195427691	7	0.9786080853395813	-0.5240946792449359	0.5240946792449359	-0.45117748143062375		565.33795	149.99	93_2211_93
51	C35H54N4O5	[M - H]-	C35H54N4O5	0.9999999999999999	44.77422031913807	44.77422031913807	0.0	12	0.8839851835046211	-0.9361640217540608	1.244243614282592	-2.1767361921390003		609.40082	319.494	361_2211_361
52	C7H14N3O3	[M - H]-	C7H14N3O3	0.9999999999999999	44.57448089185422	40.055303787497095	4.5191771043571265	7	0.8888581127022346	-0.10477729053278423	0.6689545377055015	1.5352700788645839		187.09653	104.398	47_2211_47
53	C30H46O6	[M - H]-	C30H46O6	0.9999999999999999	44.55611919132229	40.767725217941134	3.788393973381151	11	0.7439281323386191	-0.7078857846770844	2.8131476784474416	-0.7078857846770844		501.32181	209.149	166_2211_166
54	C30H52O6	[M - H]-	C30H52O6	0.9999999999999999	43.26460121967344	39.9684620465144	3.296139173159041	7	0.7613688136874909	0.7827603093899109	1.62494635752169	-0.7273515159600751		507.36874	356.876	429_2211_429
55	C23H42O6	[M - H]-	C23H42O6	0.9999999999999999	42.789197883942016	39.56646374500907	3.222734138932948	6	0.7102499957233857	-1.4637147970707993	1.4637147970707993	-1.4757821134718978		413.29025	300.314	328_2211_328
56	C30H46O8	[M - H]-	C30H46O8	0.9999999999999999	42.52296496396182	38.730213333054444	3.7927516309073774	10	0.676848321875866	-0.42077035994686446	0.4820726044518434	-67542.76946365653		533.31177	156.164	104_2211_104
