feature_id	component_id	precursor_mz
182	1	309.2070617675781
183	1	333.20703125
184	-1	413.2542419433594
185	1	379.21246337890625
186	1	301.1807861328125
187	-1	291.1966552734375
188	6	253.18055725097656
189	1	283.2276916503906
19	5	173.9253387451172
190	1	295.2276306152344
191	1	425.18548583984375
192	16	395.1526184082031
193	1	667.5158081054688
194	1	610.4183349609375
195	1	627.408935546875
196	1	699.3812255859375
197	1	251.16490173339844
198	-1	533.3294677734375
199	1	433.2803039550781
2	1	352.853759765625
20	1	188.88687133789062
200	6	243.1960906982422
201	8	311.1684875488281
202	1	361.1994934082031
203	-1	281.21197509765625
204	30	309.1738586425781
205	8	311.16888427734375
206	1	699.380615234375
207	-1	415.2698669433594
208	1	365.23052978515625
209	16	397.1682434082031
21	1	144.9223175048828
210	-1	293.2121887207031
211	1	591.4627685546875
212	1	343.2486267089844
213	1	297.2431335449219
214	2	397.1681213378906
215	1	617.475830078125
216	-1	648.4055786132812
217	1	595.4940795898438
218	1	243.1960906982422
219	1	537.3275756835938
22	1	187.88787841796875
220	1	313.23834228515625
221	1	381.22564697265625
222	2	395.1527099609375
223	1	609.4732055664062
224	1	485.3482666015625
225	1	341.2329406738281
226	1	367.24627685546875
227	1	299.25872802734375
228	1	595.4943237304688
229	1	295.2276306152344
23	1	184.88905334472656
230	1	591.4628295898438
231	1	425.1856994628906
232	1	537.3273315429688
233	-1	489.32196044921875
234	-1	388.27032470703125
235	7	174.95501708984375
236	1	537.3279418945312
237	-1	605.3153076171875
238	-1	311.2591857910156
239	1	541.3744506835938
24	1	189.8882598876953
240	-1	445.2957458496094
241	-1	361.25958251953125
242	-1	463.291015625
243	5	231.93141174316406
244	1	563.3435668945312
245	-1	469.29571533203125
246	14	246.88629150390625
247	-1	517.2806396484375
248	-1	433.27935791015625
249	23	621.3983764648438
25	1	184.88885498046875
250	-1	357.26470947265625
251	-1	465.322021484375
252	1	439.306640625
253	1	455.3529357910156
254	1	501.3584289550781
255	1	459.3115539550781
256	1	447.2752990722656
257	1	477.3216247558594
258	-1	653.4273071289062
259	23	623.4156494140625
26	-1	219.06570434570312
260	1	403.2696228027344
261	1	551.3434448242188
262	-1	545.4058837890625
263	18	621.4002075195312
264	1	323.2590637207031
265	1	479.3375244140625
266	1	471.31134033203125
267	8	339.1995544433594
268	10	571.2366333007812
269	4	239.05941772460938
27	-1	251.0557403564453
270	4	507.1216125488281
271	1	425.3270263671875
272	6	271.22772216796875
273	-1	491.3377380371094
274	-1	641.4268188476562
275	1	453.3222351074219
276	18	609.4005737304688
277	6	285.24346923828125
278	8	339.1998291015625
279	22	356.1294250488281
28	-1	375.1081848144531
280	2	327.1268310546875
281	-1	541.3146362304688
282	1	473.3269958496094
283	10	573.2525024414062
284	1	577.3587646484375
285	-1	607.3854370117188
286	1	485.29119873046875
287	3	116.92730712890625
288	-1	653.427001953125
289	1	455.3152160644531
29	1	159.06509399414062
290	1	477.3578796386719
291	-1	501.2860412597656
292	18	621.4003295898438
293	-1	623.4155883789062
294	1	425.3634948730469
295	1	439.3426208496094
296	9	633.4005737304688
297	1	467.3375244140625
298	1	415.2852783203125
299	1	565.359130859375
3	1	207.93045043945312
30	1	233.1024932861328
300	1	443.3167419433594
301	1	353.30596923828125
302	-1	457.33209228515625
303	-1	503.3010559082031
304	27	591.4117431640625
305	-1	655.442626953125
306	3	727.3726196289062
307	1	609.4733276367188
308	1	437.3269958496094
309	1	441.3004150390625
31	13	389.1239318847656
310	1	691.4031982421875
311	1	369.3006591796875
312	3	116.9271011352539
313	-1	681.2958374023438
314	1	285.2433166503906
315	3	753.2264404296875
316	9	621.4004516601562
317	1	469.3531799316406
318	-1	431.2644348144531
319	2	341.1423034667969
32	1	457.1114807128906
320	22	370.14520263671875
321	9	635.4163818359375
322	1	429.3010559082031
323	-1	471.3069763183594
324	6	299.2590637207031
325	26	637.431884765625
326	1	455.31640625
327	1	417.3009338378906
328	9	633.4005737304688
329	-1	495.3687744140625
33	1	534.0462646484375
330	1	507.3681335449219
331	6	439.34283447265625
332	1	441.3006286621094
333	10	541.2258911132812
334	-1	623.4154052734375
335	1	457.3318786621094
336	-1	473.3266906738281
337	1	471.3680419921875
338	1	485.3499450683594
339	4	239.05943298339844
34	1	473.0761413574219
340	4	581.140625
341	3	707.345947265625
342	9	621.4002685546875
343	10	543.24169921875
344	1	299.2589416503906
345	6	327.29022216796875
346	3	116.92709350585938
347	11	594.3953247070312
348	1	459.3116149902344
349	1	511.47265625
35	13	371.1131896972656
350	1	471.3106994628906
351	5	231.93109130859375
352	12	377.3055725097656
353	2	355.157958984375
354	1	144.92218017578125
355	-1	313.23828125
356	2	353.16351318359375
357	-1	374.1315612792969
358	1	485.34820556640625
359	1	312.8362731933594
36	1	249.95692443847656
360	-1	509.38446044921875
361	-1	633.4005126953125
362	2	381.1737060546875
363	1	281.2484130859375
364	9	653.4269409179688
365	2	425.2001647949219
366	1	393.26220703125
367	1	433.33197021484375
368	1	415.3216857910156
369	1	457.332275390625
37	1	311.95721435546875
370	-1	637.4320068359375
371	1	555.39013671875
372	2	599.2899169921875
373	1	499.3638916015625
374	1	503.3952331542969
375	2	559.2730712890625
376	27	619.44287109375
377	1	397.33197021484375
378	25	523.3636474609375
379	-1	635.4163818359375
38	1	203.09170532226562
380	6	467.373779296875
381	1	429.3369445800781
382	1	774.5374755859375
383	1	427.32147216796875
384	1	509.3844909667969
385	1	457.22625732421875
386	2	369.17364501953125
387	1	447.34783935546875
388	2	547.2730102539062
389	1	515.3349609375
39	1	185.0809326171875
390	1	895.7026977539062
391	12	415.32177734375
392	1	520.3640747070312
393	1	429.3368225097656
394	3	848.4833984375
395	1	353.3059387207031
396	2	453.231201171875
397	1	774.5361328125
398	1	399.3112487792969
399	1	421.2935485839844
4	1	235.9256591796875
40	-1	135.0438232421875
400	1	772.5217895507812
401	1	459.3477783203125
402	2	559.2728881835938
403	1	532.3641967773438
404	2	395.1890563964844
405	1	527.3350219726562
406	1	605.405517578125
407	1	919.7029418945312
408	1	499.3998107910156
409	12	417.3370361328125
41	1	163.03890991210938
410	4	655.1596069335938
411	-1	517.4105224609375
412	-1	619.4210205078125
413	1	687.505126953125
414	3	846.4669189453125
415	5	284.8413391113281
416	3	256.8462219238281
417	3	116.92727661132812
418	2	561.2882690429688
419	1	524.3592529296875
42	1	247.1182403564453
420	1	461.3633117675781
421	1	144.9221954345703
422	3	116.92709350585938
423	1	923.7340698242188
424	2	383.1891784667969
425	1	529.3504028320312
426	1	1035.786865234375
427	-1	602.2903442382812
428	-1	619.4210815429688
429	1	593.4058227539062
43	1	315.1061706542969
430	12	353.3059387207031
431	1	527.3951416015625
432	1	531.3687744140625
433	1	774.5370483398438
434	1	425.3635559082031
435	3	846.4663696289062
436	2	543.2782592773438
437	31	667.3880004882812
438	1	381.3372497558594
439	2	481.2625427246094
44	1	257.033935546875
440	1	567.462890625
441	-1	861.6458740234375
442	1	531.4263916015625
443	1	593.478515625
444	17	487.3430480957031
445	1	802.5687255859375
446	2	497.2574768066406
447	1	633.4365844726562
448	-1	607.4213256835938
449	1	804.5845947265625
45	1	173.0808563232422
450	-1	619.4212036132812
451	4	729.1781005859375
452	4	165.03981018066406
453	4	387.09735107421875
454	-1	387.29022216796875
455	2	529.2598266601562
456	1	800.552490234375
457	1	567.4627685546875
458	31	667.3883056640625
459	11	200.85829162597656
46	1	195.06297302246094
460	2	511.3089904785156
461	1	144.9221649169922
462	-1	621.436767578125
463	-1	1197.874267578125
464	1	355.3214111328125
465	1	455.2467956542969
466	-1	409.36798095703125
467	11	100.93211364746094
468	2	411.2204284667969
469	1	559.39990234375
47	1	318.0040588378906
470	1	443.35260009765625
471	1	312.83599853515625
472	1	312.8363342285156
473	1	758.5419311523438
474	-1	883.5386352539062
475	-1	623.4519653320312
476	1	559.4576416015625
477	-1	183.9335174560547
478	4	803.1970825195312
479	1	144.92233276367188
48	-1	373.0926513671875
480	1	661.4683837890625
481	1	442.3534851074219
482	1	469.2623596191406
483	1	577.4834594726562
484	1	575.467529296875
485	1	760.5581665039062
486	1	429.98992919921875
487	1	698.59423828125
488	1	587.431396484375
489	1	456.3691101074219
49	-1	389.12396240234375
490	1	383.3526611328125
491	1	767.7130737304688
492	1	483.2778625488281
493	1	446.34832763671875
494	4	877.2160034179688
495	1	888.6784057617188
496	1	689.4995727539062
497	19	742.6203002929688
498	1	470.384765625
499	1	553.4835205078125
5	5	261.8506774902344
50	1	267.0871276855469
500	1	429.9898376464844
501	1	573.4884033203125
502	1	828.5660400390625
503	1	728.64111328125
504	4	951.2343139648438
505	-1	823.7760620117188
506	11	100.93212127685547
507	1	712.6100463867188
508	1	573.4886474609375
509	1	429.9902038574219
51	-1	193.04971313476562
