feature_id	component_id	mz
1	3	231.9313507080078
10	28	110.95675659179688
100	1	268.0976867675781
101	4	393.2282104492187
102	5	449.2755432128906
103	20	327.0145263671875
104	4	533.311767578125
105	20	395.0016479492187
106	1	211.0393524169922
107	5	345.22808837890625
108	1	695.4013061523438
109	1	169.08599853515625
11	-1	216.85324096679688
110	1	112.98435974121094
111	20	343.0457763671875
112	4	407.24359130859375
113	5	329.2331848144531
114	-1	459.1911926269531
115	5	659.4740600585938
116	4	517.316650390625
117	1	229.14402770996097
118	1	503.3375244140625
119	1	571.324951171875
12	1	187.88807678222656
120	1	1007.6825561523438
121	1	599.3252563476562
122	15	175.9586181640625
123	15	174.95523071289062
124	1	501.3219909667969
125	-1	569.3092651367188
126	1	631.280517578125
127	1	533.3480224609375
128	-1	330.2365417480469
129	-1	195.1017913818359
13	1	116.9272232055664
130	-1	315.18115234375
131	12	187.13296508789065
132	1	565.3380126953125
133	23	727.4060668945312
134	1	377.2332458496094
135	-1	327.2175598144531
136	1	559.3270874023438
137	1	493.3167114257813
138	5	329.23321533203125
139	4	421.25933837890625
14	6	144.92234802246094
140	-1	447.1923828125
141	1	243.1597137451172
142	1	183.10162353515625
143	1	1007.6823120117188
144	18	633.295654296875
145	1	471.3111267089844
146	27	507.2601318359375
147	27	553.266357421875
148	4	485.2906188964844
149	29	431.2283630371094
15	28	110.95665740966795
150	5	331.2489013671875
151	1	529.316650390625
152	1	485.32659912109375
153	1	531.3322143554688
154	1	971.6607055664062
155	1	553.3140869140625
156	1	581.3142700195312
157	-1	305.175537109375
158	1	987.6558227539062
159	-1	615.2842407226562
16	6	144.92245483398438
160	30	293.1757507324219
161	30	293.17608642578125
162	1	515.3004760742188
163	-1	725.3904418945312
164	12	309.2070007324219
165	-1	431.3162536621094
166	25	501.3218078613281
167	-1	311.2226257324219
168	1	569.30859375
169	1	459.3113403320313
17	3	173.9253387451172
170	-1	473.32672119140625
171	1	487.3421325683594
172	1	555.3297729492188
173	31	587.2677001953125
174	1	975.6920166015624
175	18	617.3008422851562
176	1	281.17559814453125
177	1	577.3383178710938
178	1	677.3692626953125
179	1	679.3841552734375
18	1	188.88687133789065
180	1	506.19293212890625
181	1	555.3299560546875
182	-1	635.3939819335938
183	1	325.20184326171875
184	1	529.316650390625
185	1	649.37451171875
186	1	665.4059448242188
187	1	711.4114990234375
188	1	483.3113098144531
189	-1	375.1786804199219
19	1	188.88670349121097
190	1	679.3842163085938
191	-1	513.2850341796875
192	1	677.3695678710938
193	1	543.3319702148438
194	1	281.1756591796875
195	1	631.3637084960938
196	-1	307.1913757324219
197	-1	517.3528442382812
198	1	697.3955078125
199	1	341.1966857910156
2	11	207.93072509765625
20	1	184.88905334472656
200	-1	491.2659912109375
201	-1	537.2715454101562
202	1	471.3113708496094
203	1	555.3290405273438
204	1	499.3318786621094
205	1	501.3216857910156
206	16	681.4000244140625
207	1	635.3942260742188
208	29	359.20745849609375
209	1	513.2852783203125
21	1	189.8882598876953
210	1	679.3845825195312
211	1	453.3006591796875
212	32	457.2957458496094
213	-1	499.3047790527344
214	1	633.3792114257812
215	1	485.3266906738281
216	1	553.3142700195312
217	1	971.6617431640624
218	-1	457.3318481445313
219	1	503.3374328613281
22	1	187.8879547119141
220	1	525.3192138671875
221	1	929.6868286132812
222	1	471.347412109375
223	1	943.70263671875
224	1	957.682373046875
225	1	571.272705078125
226	7	313.0787658691406
227	1	539.3347778320312
228	25	315.2537536621094
229	1	679.3846435546875
23	1	186.8871612548828
230	1	561.3428344726562
231	1	663.3896484375
232	1	515.3368530273438
233	16	709.3953857421875
234	1	547.3274536132812
235	4	269.21197509765625
236	1	433.2954406738281
237	22	414.1342468261719
238	1	649.3742065429688
239	1	631.3636474609375
24	-1	184.06053161621097
240	1	555.3296508789062
241	1	267.1961975097656
242	-1	255.19610595703125
243	1	497.2904357910156
244	16	681.4003295898438
245	16	635.3934326171875
246	1	661.3740844726562
247	1	487.3424377441406
248	1	975.6919555664062
249	3	587.2674560546875
25	-1	233.1025848388672
250	1	617.3033447265625
251	1	445.2952880859375
252	1	551.218017578125
253	-1	265.14794921875
254	14	297.1531066894531
255	1	271.2275695800781
256	1	959.6976928710938
257	1	267.1962585449219
258	1	309.20697021484375
259	16	679.3843994140625
26	1	159.06520080566406
260	1	537.3182373046875
261	1	657.4369506835938
262	1	631.363525390625
263	18	601.3059692382812
264	1	663.3896484375
265	1	253.18032836914065
266	1	455.3162231445313
267	23	711.4105224609375
268	1	499.3060607910156
269	4	283.2275085449219
27	26	203.09178161621097
270	1	969.6463623046876
271	1	469.331787109375
272	1	515.337158203125
273	1	939.6715087890624
274	1	537.3190307617188
275	1	569.257080078125
276	1	961.6522827148438
277	23	681.40087890625
278	1	309.2070007324219
279	1	453.30078125
28	-1	195.06549072265625
280	18	601.3067626953125
281	33	293.2120666503906
282	4	297.2431945800781
283	1	659.4526977539062
284	12	243.19593811035156
285	18	472.3507690429687
286	-1	267.19622802734375
287	1	765.5670776367188
288	1	471.3474731445313
289	14	311.1684875488281
29	20	197.04473876953125
290	-1	281.2119445800781
291	14	311.16888427734375
292	1	499.342529296875
293	1	617.3842163085938
294	1	663.3896484375
295	1	365.2304992675781
296	4	297.24322509765625
297	2	397.1681823730469
298	-1	427.20068359375
299	21	715.3817749023438
3	1	352.853759765625
30	1	203.0915985107422
300	1	647.3948974609375
301	1	1295.796630859375
302	-1	293.2121276855469
303	-1	513.3580322265625
304	1	665.4056396484375
305	1	619.39892578125
306	4	343.2486877441406
307	4	917.6505737304688
308	4	595.4939575195312
309	1	475.34234619140625
31	1	163.03887939453125
310	1	467.3162841796875
311	-1	281.2119140625
312	1	243.19601440429688
313	1	295.2276306152344
314	1	649.41015625
315	1	695.4161376953125
316	21	717.398193359375
317	12	257.2117614746094
318	1	535.3027954101562
319	-1	499.3425598144531
32	1	173.0808868408203
320	1	467.316162109375
321	1	513.3217163085938
322	1	341.23297119140625
323	1	299.2586975097656
324	1	363.2149963378906
325	-1	451.2845153808594
326	1	295.2275695800781
327	2	395.1525268554687
328	-1	413.2902526855469
329	16	641.4419555664062
33	5	195.06336975097656
330	1	633.3790283203125
331	14	325.18408203125
332	1	627.4262084960938
333	1	647.3949584960938
334	1	693.4005737304688
335	21	715.3828735351562
336	1	639.4263916015625
337	1	665.4055786132812
338	1	619.3995361328125
339	1	687.3877563476562
34	17	257.0340270996094
340	1	257.2118225097656
341	1	537.32763671875
342	34	451.30621337890625
343	-1	473.326416015625
344	1	617.3843383789062
345	1	695.4161376953125
346	-1	361.2594604492187
347	1	717.3975830078125
348	1	445.2956848144531
